sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
DENV_KANS_in,0.808097652,0.666900908,0.563149361,0.480961296,0.387831476,0.317436152,0.258255587,0.213203879,0.157063449,0.114828876,0.082594924,0.072031897,0.051052013,0.040812569,0.034635304,0.034522376,0.017186668,0.006863356,-0.000108087,-0.000564363,-0.008365313,-0.005988483,-0.001913277,0.003286819
AOFA_LOND_in,0.800269391,0.671822374,0.588005846,0.516252183,0.458063971,0.401219053,0.344372659,0.294333734,0.252479701,0.213133179,0.177868884,0.152486755,0.121317536,0.092421482,0.06766192,0.045170393,0.023487487,0.00262821,-0.020565739,-0.038043218,-0.06287046,-0.084288635,-0.105088142,-0.129162101
LOND_NEWY_out,0.799275505,0.685725353,0.604948982,0.534091511,0.473993634,0.408050714,0.340879835,0.281868098,0.217106742,0.197841617,0.182780277,0.183973234,0.185554242,0.166385646,0.148490101,0.150098819,0.176471103,0.18406252,0.179485067,0.189734342,0.181915379,0.184208604,0.178804585,0.164399729
DENV_SACR_in,0.795750053,0.643759951,0.566400261,0.511761805,0.438434284,0.384003392,0.332448419,0.290581543,0.245261585,0.212903357,0.180384096,0.152898441,0.117435774,0.089833158,0.070073596,0.054744748,0.026522549,0.009350168,-0.007794665,-0.01779829,-0.030917307,-0.034337569,-0.036848344,-0.042761654
CHIC_KANS_out,0.789603296,0.600352884,0.448734344,0.316290529,0.153076705,0.025354286,-0.076031005,-0.145541426,-0.242616344,-0.312788041,-0.359743383,-0.39853657,-0.468255692,-0.499097613,-0.514982493,-0.527393069,-0.56994547,-0.587410373,-0.585049391,-0.579679595,-0.619080917,-0.632747614,-0.639869247,-0.639954508
ALBQ_ELPA_in,0.784809736,0.660690037,0.530159639,0.41916029,0.316581331,0.237796743,0.178448388,0.130531967,0.101530616,0.066057433,0.041835213,0.018298441,-0.002522406,-0.023275751,-0.042247757,-0.061972663,-0.076706471,-0.090603718,-0.106407493,-0.121413433,-0.137837932,-0.15853119,-0.189762736,-0.231945223
AMST_BOST_in,0.782499342,0.594571423,0.43697748,0.306564028,0.212809004,0.134435646,0.079720799,0.042035582,0.015518077,-0.002279299,-0.006228197,-0.012618604,-0.016499194,-0.02083853,-0.023864928,-0.022434638,-0.020932591,-0.025253801,-0.023577998,-0.026200151,-0.027825726,-0.031239086,-0.039872785,-0.050596725
AOFA_NEWY_out,0.781505716,0.652798486,0.573528505,0.509459541,0.44668519,0.394631195,0.350367171,0.309353567,0.268141155,0.226364777,0.188857623,0.154642255,0.115380215,0.074455589,0.035342239,-0.003914943,-0.046319455,-0.090426202,-0.141334942,-0.186550833,-0.239077427,-0.2905159,-0.348643328,-0.412042349
ELPA_HOUS_out,0.778795588,0.637589456,0.528512703,0.43854397,0.356139756,0.285537846,0.228575108,0.18505511,0.149455224,0.111936715,0.090435651,0.069554139,0.049218094,0.03176018,0.015279205,9.89E-05,-0.014641088,-0.023143798,-0.035674694,-0.046766968,-0.054966363,-0.062333692,-0.074846407,-0.088763552
CHIC_NASH_out,0.77648139,0.606504977,0.472392352,0.367500363,0.296208437,0.239317397,0.178005513,0.132269057,0.082333589,0.039452324,0.007945848,-0.026830812,-0.056180371,-0.088795324,-0.115147247,-0.134304689,-0.159726798,-0.178625024,-0.194672797,-0.214069417,-0.226474753,-0.241829185,-0.259379338,-0.275757663
