from,to,distance
PANTEX,NERSC,4.0
PANTEX,PANTEX,0.0
PANTEX,CERN-513,7.0
CERN-513,DENV,3.0
CERN-513,WASH,1.0
CERN-513,SUNN,3.0
CERN-513,STAR,2.0
CERN-513,CHIC,1.0
CERN-513,SACR,2.0
CERN-513,AOFA,2.0
CERN-513,HOUS,3.0
CERN-513,NASH,2.0
CERN-513,NEWY,3.0
CERN-513,ALBQ,4.0
CERN-513,LOND,2.0
CERN-513,KANS,2.0
CERN-513,BOST,2.0
CERN-513,ELPA,4.0
CERN-513,BOIS,4.0
CERN-513,LSVN,4.0
CERN-513,PNWG,3.0
CERN-513,AMST,1.0
CERN-513,JGI,3.0
CERN-513,LLNL,4.0
CERN-513,NREL,4.0
CERN-513,BNL,4.0
CERN-513,SNLL,3.0
CERN-513,PPPL,2.0
CERN-513,ANL,3.0
CERN-513,SNLA,3.0
CERN-513,FNAL,3.0
CERN-513,SLAC,4.0
CERN-513,NERSC,4.0
CERN-513,PANTEX,4.0
CERN-513,CERN-513,0.0
