Timesteps,95% Efficiency: (0.95),75% Efficiency: (0.75),85% Efficiency: (0.85)
260870,120,106,117
260940,120,106,117
261058,120,106,117
261284,119,106,117
261315,119,106,117
261408,120,106,117
261633,120,106,117
261670,120,106,117
262009,120,106,117
262322,120,106,117
262438,120,106,117
262563,120,106,117
262634,120,106,117
262706,120,106,117
262842,120,106,117
262899,120,106,117
263182,120,106,117
263225,120,106,117
263304,120,106,117
263375,120,106,117
264092,120,106,117
264328,120,106,117
264403,120,106,117
264720,120,106,117
264920,120,106,117
264967,120,106,117
265111,120,106,117
266004,120,106,117
266548,120,106,117
266639,120,106,117
266720,120,106,117
267021,120,106,117
267106,120,106,117
267319,120,106,117
267388,120,106,117
267448,120,106,117
267658,120,106,117
267799,120,106,117
268150,120,106,117
268240,120,106,117
268364,120,106,117
268814,120,106,117
269589,120,106,117
269993,120,106,117
270551,120,106,117
270979,120,106,117
271061,120,107,117
271230,120,107,117
271249,120,107,117
271266,120,107,117
271399,120,107,117
271492,120,107,117
271656,120,107,117
272066,120,107,117
272593,120,107,117
273032,120,107,117
273251,120,107,117
273470,120,107,117
273511,120,107,117
273553,120,107,117
273687,120,107,117
273862,120,107,117
274280,120,107,117
274342,120,107,117
274440,120,107,117
274648,120,107,117
275005,120,107,117
275140,120,107,117
275183,120,107,117
275321,120,107,117
275594,120,107,117
275834,120,107,117
276014,120,107,117
276193,120,107,117
276357,120,107,117
276708,120,107,117
276812,120,107,117
277100,120,107,117
277707,120,107,117
277896,120,107,117
277986,120,107,117
278056,120,107,117
278178,120,107,117
278257,120,107,117
278330,120,107,117
278657,120,107,117
279153,120,107,117
279411,120,107,117
279608,120,107,117
279695,120,107,117
279947,120,107,117
280032,120,107,117
280241,120,107,118
280498,120,107,118
280694,120,107,118
280973,120,107,118
281080,120,107,118
281203,120,107,118
281228,120,107,118
281246,120,107,118
281426,120,107,118
281538,120,107,118
281875,120,107,118
282024,120,107,118
282158,120,107,118
282192,120,107,118
282905,120,107,118
283092,120,107,118
283166,120,107,118
283249,120,107,118
283470,120,107,118
284205,119,107,118
284307,119,107,118
284407,119,108,118
284430,119,108,118
284533,119,108,118
284571,119,108,118
284842,119,108,118
284930,119,108,118
284979,119,108,118
