Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
191409,-274.7399902,-134.0899963,-93.76999664
192562,-275.0899963,-136.1499939,-86.48999786
193648,-272.4299927,-134.6000061,-82.91000366
195157,-283.2399902,-132.7299957,-83.01000214
197062,-273.4299927,-128.3699951,-79.37999725
199433,-269.7600098,-126.5199966,-82.19999695
200127,-270.4100037,-129.5800018,-85.23000336
201542,-264.769989,-118.1500015,-82.69000244
202115,-267.230011,-117.4400024,-81.62999725
203918,-251.5099945,-120.6900024,-90.95999908
204810,-258.3200073,-119.4400024,-94.34999847
206553,-261.3200073,-120.6900024,-97.55999756
207831,-261.3200073,-119.6800003,-96.94000244
209079,-260.8299866,-126.3600006,-97.73999786
210611,-257.1600037,-131.7899933,-101.0899963
211937,-258.269989,-135.5,-97.38999939
213198,-264.8299866,-134.1999969,-99.80000305
214083,-264.6600037,-137.5500031,-93.83999634
215663,-269.3099976,-140.5200043,-87.37000275
217020,-281.7900085,-143.8999939,-88.80000305
218381,-280.8299866,-147.9100037,-95.27999878
219324,-282.3999939,-149.6100006,-99.01000214
220718,-285.3699951,-152.7700043,-103.4199982
222236,-281.8099976,-152.3600006,-106.3399963
223509,-286.3999939,-149.5500031,-106.7399979
224963,-282.5299988,-152.9600067,-107.6100006
225964,-290.8699951,-144.7899933,-112.4100037
226735,-284.230011,-137.3800049,-113.5299988
228337,-289.2099915,-123.6200027,-116.0899963
229024,-284.9500122,-120.1699982,-119.6600037
230064,-286.7900085,-126.3300018,-124.5
231654,-289.8699951,-125.7600021,-119.4599991
232482,-295.3900146,-117.4400024,-118.4700012
233824,-291.5499878,-122.6299973,-111.8499985
235369,-305.6300049,-114.7399979,-109.3899994
236643,-293.5100098,-118.3300018,-115.0999985
237996,-290.1199951,-118.9899979,-108.1900024
238733,-289.1700134,-112.8199997,-105.2099991
239920,-281.2200012,-111.7900009,-103.0400009
241034,-281.8500061,-109.2600021,-99.29000092
242077,-266.5299988,-112.9899979,-89.30999756
243063,-259.3299866,-99.55000305,-86.87999725
244615,-254.4100037,-100.8300018,-88.23999786
245647,-249.6399994,-101.75,-81.76000214
246629,-256.0899963,-103.2300034,-82.73999786
247753,-254.6199951,-108.7900009,-73.80000305
248446,-250.2400055,-106.25,-74.15000153
249150,-244.7700043,-102.1100006,-84.05000305
250343,-238.7200012,-110.1299973,-91.40000153
251427,-237.4100037,-110.7300034,-94.95999908
252739,-221.4100037,-108.3700027,-99.09999847
253736,-223.1499939,-104.3099976,-98.81999969
254670,-217.5,-113.7600021,-108.4599991
255424,-221.8800049,-117.1600037,-108.6399994
256283,-211.5899963,-110.4100037,-110.3899994
257144,-210.3399963,-108.0500031,-111.5800018
258162,-218.0800018,-104.9599991,-114.4100037
259314,-203.7899933,-101.9499969,-116.6500015
260843,-205.8099976,-100.9599991,-108.7799988
261949,-205.4100037,-99.22000122,-106.3600006
262600,-209.1499939,-101.9000015,-95.02999878
264116,-216.2899933,-107.0199966,-83.31999969
265747,-218.6199951,-115.3799973,-78.73999786
267145,-224.6100006,-107.9499969,-80.44000244
268582,-222.6399994,-104.6800003,-79.61000061
269652,-221.9100037,-103.6900024,-82.79000092
270587,-219.5299988,-105.5199966,-83.73000336
271743,-218.3800049,-104.6600037,-80.33999634
272763,-220.0599976,-104.25,-80.11000061
273819,-224.1999969,-107.7799988,-77.41999817
274594,-223.9199982,-111.6999969,-75.13999939
275306,-229.3600006,-116.4000015,-78.93000031
276485,-227.25,-112.6500015,-80.56999969
277139,-227.9400024,-111.8600006,-69.58000183
278418,-225.9400024,-116.9100037,-74.58000183
279615,-229.6499939,-109.5999985,-73.61000061
280447,-231.1900024,-113.0999985,-78.20999908
282100,-235.9299927,-114.6999969,-76.02999878
283692,-227.2599945,-113.0599976,-81.84999847
284716,-226.7299957,-120.3899994,-79.31999969
285840,-228.4700012,-128.3099976,-79.76000214
286419,-232.3999939,-122.3700027,-85.83999634
287750,-220.9900055,-123.5100021,-80.52999878
288498,-228.0800018,-119.8300018,-79.37000275
289222,-219.3800049,-121.7399979,-82.87000275
291264,-223.0099945,-108.0800018,-85.40000153
292698,-227.9600067,-114.1399994,-84.94999695
293517,-219.6000061,-118.9100037,-83.56999969
294637,-227.3800049,-117.0400009,-83.30000305
295072,-228.4499969,-114.1200027,-85.97000122
296615,-224.1900024,-111.7699966,-87.72000122
298587,-233.0899963,-100.8600006,-87.16999817
