Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
191409,-57.31000137,-11.68999958,-7.989999771
192562,-55.06999969,-10.93000031,-8.649999619
193648,-50.54000092,-12.47999954,-7.659999847
195157,-53.00999832,-13.98999977,-8.699999809
197062,-56.65999985,-13.22999954,-8.020000458
199433,-57.33000183,-15.35999966,-8.600000381
200127,-53.83000183,-14.18999958,-8.010000229
201542,-60.84999847,-21.94000053,-8.890000343
202115,-58.25999832,-23.52000046,-10.46000004
203918,-52.15999985,-18.29999924,-7.53000021
204810,-52.88000107,-19.87000084,-6.800000191
206553,-52.68000031,-21.45999908,-7.179999828
207831,-47.59000015,-19.17000008,-8.670000076
209079,-53.63999939,-14.90999985,-8.539999962
210611,-57.5,-17.79999924,-7.360000134
211937,-56.77999878,-17.48999977,-7.579999924
213198,-57.27000046,-13.78999996,-8.300000191
214083,-56.59999847,-17.56999969,-6.880000114
215663,-47.54000092,-18.23999977,-6.960000038
217020,-45.18999863,-15.19999981,-8.050000191
218381,-44.81999969,-13.40999985,-7.480000019
219324,-42.31000137,-15.43999958,-7.480000019
220718,-41.09000015,-14.5,-7.78000021
222236,-34.65999985,-16.28000069,-8.81000042
223509,-40.88999939,-22.40999985,-6.989999771
224963,-43.02999878,-20.70000076,-7.420000076
225964,-43.97999954,-15.81000042,-8.949999809
226735,-47.43000031,-18.12999916,-9.420000076
228337,-51.13000107,-19.54000092,-10.18999958
229024,-46.43000031,-17.21999931,-7.630000114
230064,-45.11999893,-15.86999989,-8.340000153
231654,-47.20000076,-13.21000004,-8.739999771
232482,-48.65999985,-14.77000046,-7.489999771
233824,-50.54999924,-16.11000061,-6.25
235369,-54.45999908,-12.21000004,-6.380000114
236643,-51.04000092,-13.64999962,-6.380000114
237996,-54.45000076,-10.73999977,-5.579999924
238733,-50.81999969,-13.89000034,-7.659999847
239920,-50.34999847,-11.68999958,-6.710000038
241034,-46.63999939,-10.93000031,-5.920000076
242077,-46.41999817,-12.47999954,-5.900000095
243063,-45.31000137,-13.98999977,-5.929999828
244615,-45.40000153,-13.22999954,-6.210000038
245647,-43.40000153,-15.35999966,-7.53000021
246629,-41.20000076,-14.18999958,-12.31999969
247753,-42.38000107,-21.94000053,-6.860000134
248446,-44.68999863,-23.52000046,-6.809999943
249150,-47.22000122,-18.29999924,-5.989999771
250343,-53.20999908,-19.87000084,-6.090000153
