name,value
adapt_lr,0.005
meta_lr,1
hidden_size,200
hidden_layers,3
meta_bsz,1
adapt_bsz,10
packet_loss,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0]"
completion_time,"[114.61939677071175, 114.61939677071175, 110.81271892316845, 110.81271892316845, 114.1014118926458, 114.1014118926458, 108.83853510954768, 108.83853510954768, 113.40542698898214, 113.40542698898214, 110.37240858252892, 110.37240858252892, 105.61423766548447, 105.61423766548447, 106.88478265076544, 106.88478265076544, 103.65236534659584, 103.65236534659584, 100.34723648227339, 100.34723648227339, 91.87036629386597, 91.87036629386597, 87.82594537447645, 87.82594537447645, 88.44395538513083, 88.44395538513083, 86.45697737290918, 86.45697737290918, 83.00590442712478, 83.00590442712478, 76.77507099485908, 76.77507099485908, 81.2754546860892, 81.2754546860892, 71.71290585560567, 71.71290585560567, 77.19914533588751, 77.19914533588751, 65.22547383524594, 65.22547383524594, 63.638354219032294, 63.638354219032294]"
rewards,"[-115.64846012621733, -108.2237757394063, -113.92965930241989, -110.8101859998811, -111.16542625474656, -109.57942399598753, -108.76883971704574, -104.77115971576366, -105.84657928019676, -99.72124969153182, -94.07905214741432, -87.60056315946723, -89.85661822171389, -84.71573744227099, -85.12452345593212, -75.47481193696184, -80.04145590911946, -71.77559968134184, -74.36366090634718, -63.98202314709606, -63.962416144169275]"
