sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CHIC_KANS_in,0.677981601,0.47149185,0.350054242,0.267639692,0.170767561,0.084587421,0.008866597,-0.052382604,-0.126264677,-0.186653653,-0.227089585,-0.260665496,-0.310570766,-0.334135651,-0.337890113,-0.328869131,-0.343958045,-0.344900384,-0.338275245,-0.317620208,-0.318063902,-0.323723658,-0.326224728,-0.336571621
CHIC_KANS_out,0.787152398,0.637740004,0.526691459,0.430838359,0.31785684,0.21441585,0.111315009,0.014635182,-0.09894876,-0.200877334,-0.273612249,-0.314477109,-0.351143372,-0.365508468,-0.367177705,-0.350015101,-0.337356971,-0.315564617,-0.282554696,-0.217341981,-0.17570901,-0.136457965,-0.122248158,-0.093750842
CHIC_STAR_in,0.745809965,0.508300354,0.339570769,0.211180453,0.114235314,0.053215935,0.02570637,0.016684584,0.002388739,-0.014687327,-0.020340891,-0.020586125,-0.033738146,-0.04680435,-0.047409242,-0.046245961,-0.043642325,-0.047955353,-0.046287389,-0.046031903,-0.044656966,-0.046758039,-0.051501783,-0.058428025
CHIC_STAR_out,0.586973569,0.417256224,0.300518144,0.216263975,0.104386199,0.024157353,-0.034573832,-0.080873893,-0.174810459,-0.260596011,-0.33359542,-0.390205396,-0.474626407,-0.536514312,-0.581193932,-0.626646674,-0.685127496,-0.741190348,-0.795487482,-0.832760908,-0.921195898,-1.006942713,-1.078277403,-1.150654903
DENV_LSVN_in,-0.065732217,-0.087691889,-0.121994736,-0.116931028,-0.101909305,-0.119768183,-0.153779363,-0.167439868,-0.172493361,-0.192943672,-0.190411568,-0.209740454,-0.234281772,-0.260337448,-0.280339405,-0.320468092,-0.319289127,-0.355948904,-0.386661621,-0.406097728,-0.412404453,-0.439460212,-0.474582766,-0.543849244
DENV_LSVN_out,0.463481491,0.328880315,0.236333368,0.146626792,0.123802503,0.08834578,0.075864347,0.059539314,0.061617638,0.05995598,0.051901895,0.030686087,-0.003913278,-0.042723153,-0.083348097,-0.123150711,-0.138587453,-0.151988293,-0.14999422,-0.11221582,-0.071670394,-0.042501736,-0.025409921,-0.012962759
PPPL_WASH_in,0.511619388,0.181325299,0.005612129,-0.110594553,-0.161118958,-0.177213966,-0.222002449,-0.255108276,-0.283062669,-0.310047229,-0.353366796,-0.409536454,-0.467901615,-0.526163383,-0.582723932,-0.632389008,-0.675292217,-0.720546888,-0.755398666,-0.777383003,-0.795686209,-0.881420723,-0.984790806,-1.145613989
PPPL_WASH_out,0.02567413,-0.076996159,-0.059320589,-0.051956746,-0.05410178,-0.054633425,-0.044176377,-0.040503453,-0.040453364,-0.03772013,-0.035687597,-0.037206483,-0.033665415,-0.031312545,-0.027519942,-0.031182779,-0.027710842,-0.025569713,-0.027434299,-0.026184242,-0.035890918,-0.038046915,-0.041343772,-0.040038076
HOUS_NASH_in,0.561597955,0.38507819,0.24346579,0.141318057,0.05642225,-0.004399535,-0.058620429,-0.100871945,-0.123840027,-0.140136376,-0.148548764,-0.152183005,-0.153853989,-0.142539495,-0.138196524,-0.134073728,-0.129087653,-0.118735807,-0.115229315,-0.117860174,-0.124861416,-0.126730329,-0.124770763,-0.133949736
HOUS_NASH_out,0.645117277,0.166066391,-0.940170964,-2.487406163,-3.120194626,-3.763256073,-5.744736379,-8.978531284,-9.740304389,-7.29650116,-6.095352465,-5.23928513,-4.835984323,-3.158510192,-1.933702647,-0.894411715,-0.15751614,-0.23015744,-0.754214684,-1.119044379,-1.062702212,-0.37987879,-0.106093905,-0.069716763
ALBQ_SNLA_in,0.700405533,0.286007611,0.219640322,0.240092723,0.197406552,0.157057088,0.115390937,0.056932216,0.004016699,-0.03326447,-0.057354871,-0.111524765,-0.184240469,-0.266203918,-0.349576968,-0.405044013,-0.430689552,-0.442731815,-0.430084164,-0.416741991,-0.388571686,-0.366251968,-0.364878321,-0.40754426
ALBQ_SNLA_out,-2.142994748,-2.140700797,-2.138554437,-2.13690183,-2.13394086,-2.131585612,-2.129220672,-2.124657882,-2.120200931,-2.115790579,-2.111349356,-2.10704501,-2.103378768,-2.099854448,-2.096162529,-2.092272632,-2.088245216,-2.084309431,-2.080170722,-2.075846693,-2.071840012,-2.067784771,-2.063464332,-2.059167062
EASH_WASH_in,-4.659856127,-4.659099149,-4.659116616,-4.663612402,-4.666042288,-4.668302155,-4.673487289,-4.676488428,-4.679034177,-4.67898976,-4.678824149,-4.676980723,-4.675464502,-4.674554553,-4.675094836,-4.674440838,-4.672949621,-4.674196935,-4.677635493,-4.677437462,-4.677206787,-4.674460494,-4.672017945,-4.669080132
EASH_WASH_out,0.583215467,0.201111572,-0.084799838,-0.332408637,-0.511648406,-0.683705695,-0.827398481,-0.965781853,-1.152797928,-1.317094644,-1.480371686,-1.584980521,-1.698895655,-1.811070531,-1.902231556,-2.029892882,-2.211420426,-2.342418873,-2.503833063,-2.597230159,-2.673775506,-2.737546557,-2.811231126,-2.867258451
SLAC_SUNN_in,-0.50340392,-0.474381458,-0.418118332,-0.400446359,-0.396914704,-0.410169497,-0.447745779,-0.492302348,-0.528343724,-0.593609911,-0.611587012,-0.622150705,-0.692064088,-0.744744486,-0.77009005,-0.842447339,-0.91218494,-0.999744961,-1.029684798,-1.104026047,-1.123388162,-1.189745249,-1.292565381,-1.348476737
SLAC_SUNN_out,-0.255128798,-0.265874225,-0.303512881,-0.280889113,-0.282923151,-0.285825326,-0.296607504,-0.276482316,-0.296517107,-0.30424397,-0.300625963,-0.31486345,-0.309751613,-0.295251592,-0.296270488,-0.302916834,-0.305260243,-0.315240447,-0.327215426,-0.312892444,-0.321795622,-0.317451571,-0.34903428,-0.419461054
ELPA_SUNN_in,0.697357745,-0.109944237,-1.295425961,-0.45930001,0.184121896,-0.260579618,-0.109510661,-0.414871052,-0.242793007,0.026083281,-0.087517725,-1.0781163,-3.400628378,-3.177937528,-3.759821527,-5.673207242,-6.753260301,-6.946785711,-3.658591985,-3.446519817,-2.734806753,-1.220455048,-0.09448121,-0.023529891
ELPA_SUNN_out,0.648995959,0.403277288,0.254142374,0.119960131,0.057805717,0.018404867,-0.00332186,-0.009319765,-0.005155533,0.007547603,-0.002777139,-0.017564052,-0.027229826,-0.032867431,-0.03589561,-0.048260052,-0.058164471,-0.052689139,-0.053665181,-0.054262945,-0.055309141,-0.040776382,-0.03584444,-0.025500151
ATLA_NASH_in,0.766770506,0.491785839,0.211053826,0.039635963,-0.082079332,-0.29142114,-0.765774185,-1.697721034,-2.917657118,-3.311461195,-3.381304328,-6.560069246,-20.63120054,-57.26987069,-101.4087417,-131.2460296,-166.943194,-236.2870032,-334.2775456,-446.7813139,-547.9772993,-604.5891826,-683.4833006,-761.3543206
ATLA_NASH_out,0.419565809,0.213016224,0.188010523,0.129655807,0.090236091,0.071285492,0.06053637,0.046863687,0.035517577,0.020840714,0.014610627,0.02215387,0.012138918,-0.002959038,0.041337387,0.084633491,0.089957559,0.073153139,0.058532458,0.050231858,0.032930483,0.053826678,0.046217908,0.049245485
CHIC_ECHI_in,0.661058159,0.441046973,0.310777427,0.185714889,0.123743417,0.063938107,0.001382863,-0.055338365,-0.109983104,-0.149270749,-0.175387184,-0.19812568,-0.220593862,-0.24844385,-0.274649925,-0.287082562,-0.298086742,-0.301696089,-0.30267097,-0.311763174,-0.337604413,-0.3681235,-0.409585197,-0.460346089
CHIC_ECHI_out,0.574433395,0.215101786,-0.039642821,-0.285560216,-0.442770897,-0.618294743,-0.793553232,-0.963001982,-1.169787851,-1.351009554,-1.517808327,-1.630488216,-1.734096531,-1.824085149,-1.892212489,-1.986929891,-2.130715626,-2.265186873,-2.43353011,-2.54054369,-2.614200277,-2.733806596,-2.869190517,-2.984419104
NERSC_SUNN_in,-0.396393603,-0.334592878,-0.265947007,-0.256511376,-0.686062257,-0.740266358,-0.694503967,-0.559146507,-0.742955389,-0.975859316,-1.277173516,-1.082220962,-1.486814592,-1.528461174,-2.318511353,-2.575716073,-2.491835373,-2.814284972,-3.742673661,-4.077099265,-3.052173128,-4.24098281,-5.800267385,-6.047942898
NERSC_SUNN_out,-0.355045025,-0.352554585,-0.36994949,-0.374914315,-0.301396255,-0.301755977,-0.259699725,-0.229061732,-0.222475567,-0.21444661,-0.201690538,-0.214010221,-0.208455554,-0.196802698,-0.181419368,-0.160654083,-0.13832121,-0.17417133,-0.161523583,-0.254882509,-0.161827318,-0.15639047,-0.195195111,-0.140705412
AMST_BOST_in,0.751625853,0.510724869,0.300682399,0.116188433,-0.022525416,-0.133755372,-0.224852087,-0.297021046,-0.367981344,-0.438813274,-0.506412489,-0.585222562,-0.655342771,-0.740542325,-0.829041987,-0.925605383,-1.028668055,-1.12186742,-1.21247659,-1.310500911,-1.403395149,-1.511330506,-1.640967734,-1.775998299
AMST_BOST_out,0.616915774,0.411071634,0.306616437,0.266801024,0.2399513,0.189028198,0.127997018,0.053429347,0.011729502,-0.01952063,-0.041614341,-0.070552091,-0.108797527,-0.143936126,-0.158586543,-0.178402311,-0.199876682,-0.223203131,-0.256315677,-0.280092836,-0.294883925,-0.301423597,-0.304058076,-0.3140735
BNL_NEWY_in,-0.64474134,-0.649025087,-0.651844685,-0.655692367,-0.657163225,-0.66203055,-0.668981902,-0.671009937,-0.671606243,-0.672963597,-0.676475122,-0.677345461,-0.679499351,-0.681430342,-0.681914038,-0.683408363,-0.208684909,0.600801385,0.262499045,-0.031429029,-0.542364856,-0.179128449,0.910683419,0.079674522
BNL_NEWY_out,-3.775498366,-3.693156744,-4.607283812,-14.13018074,-23.55482422,-31.13124563,-49.92179924,-65.90480686,-66.6399103,-82.98403968,-93.4988812,-90.29574909,-83.73362349,-75.59691394,-74.43427241,-73.64602996,-69.37074097,-65.24812754,-59.67106102,-53.40125342,-49.57023288,-48.70489173,-41.55021158,-38.46939132
DENV_PNWG_in,0.246687046,-0.012594615,-0.02972366,-0.14889585,-0.231897496,-0.197020836,-0.215213433,-0.257335032,-0.29385614,-0.317807317,-0.340746971,-0.349530266,-0.357589696,-0.364630733,-0.368118106,-0.378544046,-0.398102259,-0.412692127,-0.415823117,-0.410437197,-0.408947254,-0.413572567,-0.421150439,-0.426159166
DENV_PNWG_out,0.566196529,0.35059785,0.231366713,0.154695071,0.10194689,0.063530657,0.033877775,0.019981978,0.005255636,-0.006907017,-0.019441297,-0.032611506,-0.044144452,-0.052516668,-0.051967455,-0.054725422,-0.057121109,-0.059373977,-0.061976253,-0.054701265,-0.047151773,-0.038850238,-0.029337799,-0.022210582
ATLA_ORNL_in,0.442347222,0.181845824,0.118486828,0.072476782,0.037026001,0.011720473,-0.008215796,-0.020408096,-0.027031269,-0.025579383,-0.031499766,-0.034562576,-0.040319473,-0.041127591,-0.031664677,-0.025925124,-0.024279119,-0.024818945,-0.024498903,-0.019312505,-0.018404393,-0.019376181,-0.014312472,-0.021465161
ATLA_ORNL_out,0.809065374,0.637208115,0.536284298,0.465998662,0.401578088,0.361221015,0.332432009,0.293168725,0.259655226,0.227606486,0.195431304,0.167606042,0.141687075,0.120152913,0.095174624,0.063912677,0.043222683,0.020284578,0.007375333,0.002292838,0.007753578,0.010410135,0.014348295,0.013653365
AOFA_LOND_in,0.805149981,0.687821885,0.616012355,0.557575286,0.515423439,0.478209031,0.444914085,0.42316754,0.406281213,0.392000916,0.379254033,0.371507384,0.359763534,0.349211365,0.340879452,0.333016114,0.32545601,0.316714633,0.307331315,0.299297284,0.286463821,0.276230123,0.266981713,0.254513615
AOFA_LOND_out,0.683774919,0.479982182,0.367652658,0.281384923,0.209367376,0.152295346,0.100811121,0.057472147,0.031833713,0.012155568,-0.008599659,-0.023768061,-0.028818705,-0.037505721,-0.044250189,-0.046897615,-0.047888139,-0.046344086,-0.043228859,-0.044899973,-0.048297344,-0.047531618,-0.047831951,-0.052799426
ELPA_HOUS_in,0.728961207,0.591183266,0.471279658,0.382421501,0.305541677,0.233618594,0.156919917,0.094135479,0.050622415,0.013894661,-0.015249312,-0.041931065,-0.060686814,-0.074856717,-0.084848612,-0.093980665,-0.09991256,-0.099399355,-0.103611758,-0.106886917,-0.108311064,-0.111994794,-0.10458547,-0.093293908
ELPA_HOUS_out,0.706989309,0.52070847,0.34543613,0.231782959,0.160274625,0.120139293,0.081708043,0.058652899,0.033010985,0.012214592,-0.003661918,-0.014612952,-0.02232125,-0.030444788,-0.034346435,-0.040413748,-0.045891442,-0.048368434,-0.047080264,-0.040492677,-0.036288066,-0.029358835,-0.032169523,-0.033986658
ANL_STAR_in,-0.002952732,-0.002949253,-0.00294548,-0.002941483,-0.002937493,-0.002933596,-0.002929415,-0.002925656,-0.002921745,-0.002918018,-0.002914168,-0.002910452,-0.002907182,-0.002903294,-0.002899454,-0.00289568,-0.002891679,-0.002887781,-0.002883707,-0.00287987,-0.002876104,-0.002872424,-0.002868517,-0.002864442
ANL_STAR_out,-0.014591488,-0.014556093,-0.014521143,-0.014485294,-0.014450236,-0.014415947,-0.01437997,-0.014345136,-0.014309699,-0.014273984,-0.014240102,-0.014204532,-0.014170264,-0.014135347,-0.014100555,-0.014065879,-0.014030805,-0.013995985,-0.013962179,-0.013927196,-0.013892458,-0.013857295,-0.013822317,-0.01378732
CERN-513_WASH_in,0.814986765,0.72826535,0.669436479,0.621490408,0.585624347,0.54883687,0.516690823,0.489080044,0.455875853,0.431692498,0.408971525,0.391490404,0.374625727,0.357419638,0.341031926,0.328507299,0.313967006,0.301036793,0.284372514,0.268945218,0.251325709,0.238784228,0.224756689,0.2188917
CERN-513_WASH_out,0.86075881,0.755203855,0.66645764,0.581908881,0.499256063,0.442151058,0.402139375,0.37882755,0.359721126,0.336945825,0.320001863,0.302792045,0.285492277,0.271104993,0.25821033,0.245124581,0.216079464,0.181410577,0.14780152,0.125299147,0.118442256,0.116977772,0.115612141,0.10653107
DENV_KANS_in,0.820413575,0.686917224,0.58057064,0.472761926,0.333782638,0.172581576,-0.061290018,-0.335281812,-0.574352747,-0.726429156,-0.840657981,-0.919536646,-1.000184558,-1.062823157,-1.112703026,-1.14175069,-1.141067708,-1.123177605,-1.07184812,-0.933341084,-0.696164736,-0.501017225,-0.373163601,-0.292403752
DENV_KANS_out,0.772348445,0.63405075,0.548834205,0.47838826,0.388529098,0.282785303,0.137956911,0.015618267,-0.094567331,-0.116507052,-0.081611903,-0.017995832,0.040731225,0.087292256,0.107241265,0.128341775,0.113076326,0.07090238,0.009693518,0.023731501,0.046189459,0.031362563,0.027283572,0.023378712
BOIS_DENV_in,0.468919288,0.360736306,0.355887848,0.337035799,0.291312064,0.252999671,0.233206931,0.227822716,0.211840374,0.214765514,0.219839666,0.228263863,0.230186301,0.228143857,0.214264283,0.194981891,0.193867133,0.199671973,0.197750659,0.204344892,0.197371943,0.200891042,0.199723026,0.20033267
BOIS_DENV_out,0.166769374,0.175787884,0.178144432,0.18038073,0.167150531,0.160303703,0.138599413,0.125184306,0.0941831,0.056752151,0.034931913,0.000823674,-0.012803576,-0.029415898,-0.038898043,-0.068359056,-0.085730869,-0.111185532,-0.135565738,-0.158230756,-0.181996741,-0.200682554,-0.22148757,-0.244374469
AOFA_NEWY_in,-6.531197775,-6.531704827,-6.528090906,-6.522183666,-6.516455398,-6.516904395,-6.516175283,-6.515150307,-6.509919448,-6.503836686,-6.493423488,-6.479149521,-6.471318737,-6.465993435,-6.465969222,-6.462332888,-6.454575809,-6.447906986,-6.444489292,-6.445391035,-6.450523704,-6.447262801,-6.444909946,-6.438751475
AOFA_NEWY_out,0.788900557,0.671009521,0.60334859,0.551888845,0.510393094,0.481376171,0.454175698,0.435871686,0.41886194,0.401639364,0.390402766,0.384190673,0.377739942,0.377827685,0.381691698,0.38571622,0.385209439,0.391451488,0.392393115,0.390001299,0.38278305,0.375562384,0.366423543,0.355731752
AOFA_STAR_in,0.511125328,0.068754663,-0.269329491,-0.571366912,-0.784671666,-0.960694527,-1.095065871,-1.185459032,-1.23030242,-1.254257678,-1.271871934,-1.268646582,-1.272050792,-1.297948793,-1.329395109,-1.338542643,-1.350572919,-1.384513884,-1.404979005,-1.413580296,-1.433715982,-1.452640389,-1.465521522,-1.483346208
AOFA_STAR_out,0.59213733,0.306224178,0.116035151,-0.003226906,-0.092526196,-0.194422267,-0.307418648,-0.402235184,-0.477164282,-0.569250993,-0.656753705,-0.721708744,-0.784127958,-0.810814182,-0.849639562,-0.886994628,-0.936706168,-0.990472302,-1.057187326,-1.10175231,-1.158086978,-1.214564555,-1.260901986,-1.331723235
DENV_SACR_in,0.800892122,0.680550101,0.617517578,0.567803205,0.516174207,0.481218329,0.443394604,0.408220955,0.36794505,0.338562571,0.306050624,0.274430653,0.23785435,0.207577329,0.182674206,0.161900883,0.133720898,0.10288642,0.078793884,0.058817498,0.038803191,0.022009205,0.009637456,0.005531649
DENV_SACR_out,0.842970049,0.7298972,0.645831374,0.576907652,0.505807625,0.448122232,0.392436757,0.342490475,0.298440339,0.26424377,0.234729277,0.210156851,0.179109884,0.149065834,0.120818268,0.098944002,0.075844045,0.052406392,0.034017546,0.018280438,0.008962298,0.007752884,0.008464296,0.007123923
NASH_WASH_in,0.831185621,0.749936363,0.708711993,0.67161846,0.640640706,0.614733787,0.591646093,0.570930542,0.554495335,0.540499212,0.525610209,0.517348554,0.509594706,0.50218602,0.495032991,0.49140085,0.488371987,0.476365341,0.459048441,0.444670539,0.425552953,0.408732093,0.397203233,0.379531196
NASH_WASH_out,0.686536806,0.433381474,0.319896294,0.23579382,0.166525404,0.126383759,0.092996945,0.084807353,0.081978888,0.073826542,0.063375948,0.057528363,0.06453602,0.077231,0.083687766,0.093315889,0.105347654,0.108173921,0.108690877,0.109140787,0.105016886,0.103670095,0.103433961,0.10492834
ALBQ_DENV_in,0.566750109,0.373237169,0.328992654,0.288689652,0.220374863,0.16355735,0.113927028,0.080624328,0.050896544,0.035019262,0.015066945,-0.005409751,-0.013896708,-0.032713488,-0.055038825,-0.062184137,-0.06434188,-0.062858141,-0.066739741,-0.058978768,-0.060594117,-0.060349863,-0.057756828,-0.063322938
ALBQ_DENV_out,0.505515727,0.319486752,0.270371318,0.265210377,0.262547669,0.251419414,0.213757536,0.186542595,0.154012216,0.127078199,0.098918642,0.065731927,0.035560008,0.020510584,-0.015016677,-0.057690363,-0.082100769,-0.085536733,-0.098626958,-0.084764894,-0.075576168,-0.083374013,-0.068623028,-0.053658447
AOFA_WASH_in,0.82521222,0.702431208,0.644002615,0.604287468,0.564685692,0.531131019,0.505920262,0.482043669,0.455831694,0.431321448,0.406740928,0.384477902,0.361790181,0.343122604,0.325742392,0.308535654,0.292723831,0.278129167,0.262281654,0.246126027,0.226066209,0.209404427,0.187790374,0.163999778
AOFA_WASH_out,-8.128244039,-8.124860014,-8.118268874,-8.114576072,-8.114675789,-8.113597446,-8.121963081,-8.120643578,-8.114692649,-8.11028345,-8.106965156,-8.099422456,-8.090724737,-8.089069838,-8.083464454,-8.076767627,-8.065496585,-8.052947171,-8.042976516,-8.041700699,-8.043325033,-8.040253405,-8.034913018,-8.025890005
CHIC_NASH_in,0.276450176,-0.0098906,-0.004165019,0.00130241,-0.03684841,-0.091857875,-0.150366023,-0.167226419,-0.148916765,-0.132997928,-0.11548606,-0.119124812,-0.138838628,-0.153334523,-0.157137117,-0.165003098,-0.172327304,-0.182706202,-0.193339487,-0.202987027,-0.213100201,-0.221558744,-0.23379389,-0.244809638
CHIC_NASH_out,0.716697512,0.43304658,0.196511763,-0.025328609,-0.220840318,-0.404699676,-0.600127983,-0.785694876,-0.966962885,-1.121052087,-1.256936607,-1.356462995,-1.438911974,-1.517995068,-1.612477047,-1.685943013,-1.770262389,-1.858416849,-1.933926606,-1.977405233,-2.105388059,-2.221487482,-2.301920327,-2.354146954
ALBQ_ELPA_in,0.765676534,0.633552454,0.509526463,0.408068601,0.280688334,0.167494419,0.062680533,-0.040630361,-0.148777151,-0.248673271,-0.301227151,-0.327186291,-0.326757322,-0.295513942,-0.242006718,-0.170422678,-0.081968206,-0.009279837,0.046248452,0.083603808,0.10010013,0.096342894,0.073728239,0.042641651
ALBQ_ELPA_out,0.617796328,0.452705096,0.392988154,0.349477823,0.276822463,0.247744536,0.181596255,0.131386256,0.083643565,0.056620429,0.034949014,0.040874909,0.035586,0.059847631,0.098483757,0.129593103,0.127261962,0.133638459,0.162583637,0.162416487,0.165534184,0.165240544,0.176212487,0.177523634
EASH_ECHI_in,0.676226826,0.451146725,0.313060361,0.191448956,0.118011407,0.04907478,-0.01505939,-0.068290234,-0.130636998,-0.19029189,-0.256730623,-0.324567612,-0.39470791,-0.472949656,-0.536022997,-0.600816749,-0.670554519,-0.724368834,-0.780852858,-0.807630299,-0.81908849,-0.821489005,-0.831015942,-0.836088507
EASH_ECHI_out,0.48184441,0.399941286,0.245651665,-0.004095959,-0.005622005,-0.089681772,-0.108920064,-0.160519795,-0.245883822,-0.249577255,-0.267630876,-0.325642369,-0.32798409,-0.430205575,-0.504243701,-0.562987811,-0.62760938,-0.642396807,-0.650116876,-0.688550041,-0.803001875,-0.832641118,-0.896173299,-0.972689088
SACR_SNLL_in,-0.123439282,-0.148718253,-0.194458637,-0.181187093,-0.138040111,-0.214805992,-0.250500212,-0.258972186,-0.277112798,-0.257852201,-0.324988828,-0.250628217,-0.255798448,-0.223650605,-0.195727434,-0.223816569,-0.172341871,-0.263806854,-0.257364063,-0.271313057,-0.303886811,-0.303818879,-0.388317232,-0.43109957
