1,-8,9
2,-6,10
3,30,40
4,12,32
5,22,40
6,13,32
7,6,38
8,-7,6
9,1,13
10,80,200
11,20,45
12,-5,9
13,66,128
14,133,300
15,145,300
16,124,300
17,168,256
18,160,300
19,79,300
20,-1,300
21,0,300
22,0,300
23,-1,300
24,3,300
25,3,300
26,3,300
27,2,300
28,12,300
29,3,300
30,2,300
31,2,300
32,3,300
33,5,300
34,12,203
35,0,4
36,9,7
37,5,7
38,4,8
39,-6,2
40,0,4
41,-6,2
42,-3,3
43,11,13
44,-3,3
45,11,9
46,1,7
47,0,4
48,12,12
49,0,4
50,-3,3
51,6,10
52,-1,5
53,-4,4
54,0,4
55,6,6
56,-6,2
57,-4,4
58,-6,2
59,2,6
60,10,10
61,0,4
62,-6,2
63,-3,3
64,39,21
65,8,8
66,7,9
67,8,8
68,-6,2
69,-6,2
70,-3,3
71,6,10
72,-4,4
73,-1,5
74,11,9
75,-4,4
76,18,14
77,-6,2
78,-3,3
79,2,6
80,3,5
81,-6,2
82,-6,2
83,-1,5
84,-6,2
85,-6,2
86,-6,2
87,-3,3
88,-1,5
89,9,7
90,-3,3
91,-6,2
92,13,12
93,0,8
94,0,4
95,-6,2
96,-6,2
97,3,5
98,3,9
99,16,12
100,-6,2
