#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
67.32.92.125,63398,13,1,12,6,1321,4,1321,0,0,0,1,1,2.19.68.79,443,14,0,14,1,10031,11,10032,1,1,0,1,1,1.44889E+12,1.44889E+12,213308.87,10.985,18.962,1019.498,213308.868,10.985,18.962,1,0,1,0,8192,0,0,16.062899,6.978,34.982,11.333927,6,126,126,29.596006,0.001,199.698,75.044276,7,57,57,0,0,0,0,0,0,1,0,2,1,1,1460,475,139,65700,8192,0,475,139,139,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1460,1460,1,33504,29200,0,6189,27,2461,0,0,0,0,1,0,0,0,0,0,0,---,4,5,static.skypeassets.com,www.skypeassets.com,0,0,0,20.972,243.133,978.059,1013.041,454,2509,static.skypeassets.com,234.122.1.21,1.44889E+12,1.44889E+12,0.108627294,4.95432E-05
67.32.92.125,63401,15,1,14,9,666,3,666,0,0,0,1,1,95.101.31.69,443,30,0,30,1,34678,27,34737,1,59,0,1,1,1.44889E+12,1.44889E+12,213307.409,14.978,31.453,1011.042,213306.868,14.476,28.444,1,0,1,0,8192,0,0,17.961641,12.97,30.934,7.509428,5,126,126,0.289139,0.001,0.541,0.270084,7,53,53,0,0,0,0,0,0,1,0,2,1,1,1460,405,127,66928,8192,0,405,127,127,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1424,1460,37,30624,28480,0,23360,37,4215,1,0,0,0,0,0,0,0,0,0,0,---,3,4,h6.msn.com,*.msn.com,0,0,0,62.91,296.562,1011.042,1041.976,262,4275,h6.msn.com,234.122.1.21,1.44889E+12,1.44889E+12,0.104739122,2.4978E-05
67.32.92.125,63405,13,1,12,6,1112,4,1112,0,0,0,1,1,95.101.245.176,443,17,0,17,1,15534,14,15593,1,59,0,1,1,1.44889E+12,1.44889E+12,213296.933,26.971,64.918,1230.735,213296.408,15.987,64.415,1,0,1,0,8192,0,0,23.125948,14.992,37.444,8.453315,6,126,126,0.59099,0.002,0.997,0.371904,6,54,54,0,0,0,0,0,0,1,0,2,1,1,1460,485,134,66928,8192,0,485,134,136,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1424,1460,37,32768,28480,0,6741,37,4324,1,0,0,0,0,0,0,0,0,0,0,---,4,5,dtm.advertising.com,dtm.advertising.com,0,0,0,95.872,326.532,1194.791,1219.727,271,4384,dtm.advertising.com,234.122.1.21,1.44889E+12,1.44889E+12,0.103621408,4.17071E-05
67.32.92.125,63404,12,1,11,6,654,3,654,0,0,0,1,1,95.100.184.109,443,17,0,17,1,15307,14,15366,1,59,0,1,1,1.44889E+12,1.44889E+12,213297.417,24.462,64.899,1000.022,213297.416,15.477,63.405,1,0,1,0,8192,0,0,23.767525,14.973,38.943,10.861629,5,126,126,0.798984,0.001,1.987,0.75203,5,53,53,0,0,0,0,0,0,1,0,2,1,1,1460,389,131,66928,8192,0,389,131,131,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1424,1460,37,31712,28480,0,10997,37,4214,1,0,0,0,0,0,0,0,0,0,0,---,3,4,ads1.msads.net,*.msads.net,0,0,0,99.354,328.518,1000.022,1031.486,266,4274,ads1.msads.net,234.122.1.21,1.44889E+12,1.44889E+12,0.079911666,2.45291E-05
67.32.92.125,63406,10,1,9,4,627,3,627,0,0,0,1,1,95.101.245.176,443,11,0,11,1,6441,8,6500,1,59,0,1,1,1.44889E+12,1.44889E+12,213296.933,37.955,70.909,1238.723,213296.932,15.987,68.413,1,0,1,0,8192,0,0,20.774985,15.488,30.458,7.150654,5,126,126,0.499238,0.001,1,0.407843,4,54,54,0,0,0,0,0,0,1,0,2,1,1,1460,357,134,66928,8192,0,357,134,136,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1424,1460,37,31712,28480,0,4324,37,4324,1,0,0,0,0,0,0,0,0,0,0,---,3,4,dtm.advertising.com,dtm.advertising.com,0,0,0,104.847,331.525,1238.723,1265.163,271,4384,dtm.advertising.com,234.122.1.21,1.44889E+12,1.44889E+12,0.093768468,2.35165E-05
67.32.49.1,53989,15,0,14,8,4864,6,4864,0,0,0,1,0,204.79.197.213,443,15,1,15,6,7996,7,7996,0,0,0,1,0,1.44889E+12,1.44889E+12,62639.814,8.487,19.47,68.401,405.411,7.988,15.975,1,0,1,0,8192,0,0,13.977515,6.489,19.469,6.393181,7,126,126,0.812865,0.5,1.001,0.259086,8,119,119,0,0,0,0,0,0,1,0,8,1,0,1460,1440,214,262144,65535,0,4426,214,224,0,0,0,0,0,0,0,0,0,1,0,8,1,0,1440,1460,107,131328,8192,0,6860,107,6860,0,0,0,0,0,0,0,0,0,0,0,---,4,3,dm2301.storage.live.com,storage.live.com,0,0,1,56.418,66.901,68.401,405.411,439,6968,-,-,0,0,1.818686116,0.000621202
67.32.57.20,59074,5,1,4,1,308,2,308,0,0,0,1,0,74.125.232.133,80,7,0,7,2,3131,3,3131,0,0,0,1,1,1.44889E+12,1.44889E+12,36.434,3.994,34.957,7.489,35.444,3.994,6.476,1,0,1,0,1,0,1,2.648245,2.482,2.981,0.288098,3,125,125,1.244938,1.013,1.477,0,2,56,56,0,0,0,0,0,0,1,0,8,1,0,1460,194,114,65536,8192,0,194,114,194,0,0,0,0,0,0,0,0,0,1,0,7,1,0,1430,1430,271,44032,42900,0,3131,1430,3131,0,0,0,0,0,0,0,0,0,1,1,503,2,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0.520630661,0.067629138
67.32.85.215,53400,33,0,32,16,16699,15,16699,0,0,0,1,1,23.214.136.200,443,28,0,28,8,6855,18,6861,6,6,0,1,1,1.44889E+12,1.44889E+12,205583.669,49.428,99.354,47961.807,205527.287,47.431,95.357,1,0,1,0,8192,0,0,48.339742,44.932,56.931,3.546742,11,125,125,121.080089,0.002,209.705,103.721211,10,49,49,0,0,0,0,0,0,0,0,0,1,6,1460,1424,126,65504,8192,0,2812,126,224,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1424,1460,1,65504,28480,0,4216,31,4216,0,0,0,0,6,0,0,0,0,0,0,---,9,10,sb.scorecardresearch.com,*.scorecardresearch.com,225,32,0,109.337,154.772,109.84,157.269,351,4459,sb.scorecardresearch.com,185.74.47.1,1.44889E+12,1.44889E+12,0.395145,0.000649818
93.49.106.80,59265,9,0,8,3,127,4,127,0,0,0,1,1,67.32.78.198,40025,7,0,7,1,162,4,162,0,0,0,1,1,1.44889E+12,1.44889E+12,11656.958,65.889,66.4,280.092,280.587,65.426,66.4,0,1,0,1,0,0,0,0.324495,0.001,0.511,0.250728,6,111,111,70.659822,53.939,91.376,12.754356,6,126,126,0,0,0,0,0,0,1,0,8,1,0,1460,50,8,65536,8192,0,50,8,48,0,0,0,0,0,0,0,0,0,1,0,8,1,0,1460,111,8,65536,8192,0,111,8,111,0,0,0,0,0,0,0,0,0,0,0,---,4,4,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0.782778865,8.71582E-05
67.32.92.125,63393,12,0,11,7,662,3,662,0,0,0,1,1,68.232.34.200,443,15,1,14,1,11982,11,11983,1,1,0,1,1,1.44889E+12,1.44889E+12,213348.847,31.953,59.914,891.201,983.066,30.957,56.916,1,0,1,0,8192,0,0,34.699883,24.963,45.453,8.792025,4,126,126,34.19893,0.001,203.713,83.044668,6,52,52,0,0,0,0,0,0,1,0,2,1,1,1460,389,134,65700,8192,0,389,134,139,0,0,0,0,0,0,0,0,0,1,0,9,1,0,1460,1460,1,149504,65535,0,7279,59,7279,0,0,0,0,1,0,0,0,0,0,0,---,3,4,az512334.vo.msecnd.net,*.vo.msecnd.net,0,0,0,82.383,357.479,891.201,936.654,274,7339,az512334.vo.msecnd.net,234.122.1.21,1.44889E+12,1.44889E+12,0.068466328,2.48232E-05
