#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
67.32.57.81,56757,9,0,8,4,123,3,123,0,0,0,1,1,40.112.79.6,443,8,0,8,2,140,4,140,0,0,0,1,1,1.45E+12,1.45E+12,1170.265,115.797,227.134,335.491,445.833,115.797,223.174,1,0,1,0,8192,0,0,118.721826,107.377,149.767,17.582758,5,125,125,0.747981,0.5,0.998,0.28637,4,48,48,0,0,0,0,0,0,1,0,8,1,0,1460,72,14,66048,8192,0,72,14,72,0,0,0,0,0,0,0,0,0,1,0,9,1,0,1440,79,3,29696,29200,0,131,3,131,0,0,0,0,0,0,0,0,0,0,0,---,3,4,-,-,0,0,1,335.491,445.833,0,0,0,0,-,-,0,0,0.003845974,0.000840835
67.32.57.81,56759,9,0,8,4,157,3,157,0,0,0,1,1,40.112.79.6,443,8,0,8,2,118,4,118,0,0,0,1,1,1.45E+12,1.45E+12,896.649,111.817,224.169,332.985,442.327,111.817,219.639,1,0,1,0,8192,0,0,118.00684,107.822,149.767,17.824413,5,125,125,0.623234,0.487,0.989,0.244143,4,47,47,0,0,0,0,0,0,1,0,8,1,0,1460,72,14,66048,8192,0,72,14,72,0,0,0,0,0,0,0,0,0,1,0,9,1,0,1440,79,3,29696,29200,0,109,3,109,0,0,0,0,0,0,0,0,0,0,0,---,3,4,-,-,0,0,1,332.985,442.327,0,0,0,0,-,-,0,0,0.003845974,0.001400771
67.32.116.223,34065,10,0,9,5,43,2,86,2,44,0,1,2,192.26.92.30,53,6,0,6,2,1008,2,2016,1,1008,0,1,1,1.45E+12,1.45E+12,273.075,91.366,180.699,91.367,180.7,91.366,180.699,0,1,1,0,0,0,0,90.844916,90.854,90.854,0,1,63,64,0.256487,0.001,0.512,0,2,53,54,0,0,0,0,0,0,1,1,7,1,0,1460,43,43,31232,29200,0,43,43,43,0,0,0,2,0,0,0,0,0,1,1,7,1,0,1460,1008,1008,14592,14480,0,1008,1008,1008,0,0,0,1,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0.003786294,0.002519454
67.32.57.81,56762,9,0,8,4,134,3,134,0,0,0,1,1,40.112.79.6,443,8,0,8,2,122,4,122,0,0,0,1,1,1.45E+12,1.45E+12,498.281,43.968,90.877,136.338,185.756,43.968,87.404,1,0,1,0,8192,0,0,45.642487,42.965,49.415,2.599266,5,125,125,1.121722,0.978,1.508,0.257726,4,47,47,0,0,0,0,0,0,1,0,8,1,0,1460,72,14,66048,8192,0,72,14,72,0,0,0,0,0,0,0,0,0,1,0,9,1,0,1440,79,3,29696,29200,0,113,3,113,0,0,0,0,0,0,0,0,0,0,0,---,3,4,-,-,0,0,1,136.338,185.756,0,0,0,0,-,-,0,0,0.01165638,0.002151397
67.32.111.157,61495,13,0,12,6,4115,6,4115,0,0,0,1,0,54.210.226.34,443,12,0,12,3,4624,7,4625,1,1,0,1,1,1.45E+12,1.45E+12,60274.305,100.884,211.701,434.878,978.105,100.388,209.717,1,0,1,0,8192,0,0,108.644027,100.387,117.34,6.092121,5,126,126,34.292262,0.001,202.213,82.266631,6,45,45,0,0,0,0,0,0,1,0,2,1,1,1260,1260,99,66780,8192,0,2520,99,99,0,0,0,0,0,0,0,0,0,1,0,8,1,0,8961,1260,1,26624,17922,0,4128,59,4128,0,0,0,0,1,0,0,0,0,0,0,---,3,3,dl-debug.dropbox.com,*.dropbox.com,0,0,0,215.199,325.023,327.053,698.505,234,4188,dl-debug.dropbox.com,234.122.1.24,1.45E+12,1.45E+12,0.17180842,0.00054617
67.32.116.151,44321,8,0,7,4,46,2,92,1,46,0,1,1,156.154.102.3,53,4,0,4,1,802,1,802,0,0,0,1,1,1.45E+12,1.45E+12,136.31,42.971,87.871,42.973,87.871,42.971,87.385,0,1,1,0,0,0,0,44.951252,42.467,47.44,0,2,63,64,0.167994,0,0.504,0.290985,3,47,47,0,0,0,0,0,0,1,1,4,1,0,1460,46,46,16208,14600,0,46,46,46,0,0,0,1,0,0,0,0,0,1,0,7,1,0,1460,802,802,5888,5840,0,802,802,802,0,0,0,0,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0.007757167,0.005399457
67.32.96.163,35126,14,0,13,4,1761,9,1761,0,0,0,1,1,74.125.21.94,443,16,1,15,2,4747,11,4747,0,0,0,1,1,1.45E+12,1.45E+12,58701.104,114.817,226.653,58580.301,58579.797,114.332,226.168,1,0,1,0,8192,0,0,112.337961,111.351,114.331,1.129709,6,62,62,0.506325,0.001,1.013,0.320325,6,41,41,0,0,0,0,0,0,1,1,7,1,0,1460,1085,31,42880,29200,0,1368,38,186,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1430,1418,38,46976,42540,0,3944,60,3944,0,0,0,0,0,0,0,0,0,0,0,---,9,9,id.google.it,*.google.com,97,0,0,235.151,347.508,235.655,347.508,313,4191,id.google.it,234.122.1.24,1.45E+12,1.45E+12,0.09572207,0.000239995
67.32.116.151,40224,6,0,5,3,43,1,43,0,0,0,1,1,203.119.27.1,53,6,0,6,2,749,2,1498,1,749,0,1,1,1.45E+12,1.45E+12,176.763,57.437,112.832,57.437,112.832,56.917,112.832,0,1,1,0,0,0,0,58.578381,55.395,63.429,4.26747,3,64,64,0,0,0,0,3,49,50,0,0,0,0,0,0,1,1,4,1,0,1460,43,43,16112,14600,0,43,43,43,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,749,749,5888,5792,0,749,749,749,0,0,0,1,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0,0,0,0,0,0,c.dns.cn,203.119.26.1,1.45E+12,1.45E+12,0.005423387,0.001946109
67.32.239.161,49990,11,1,9,4,1403,4,1403,0,0,0,1,1,64.235.151.55,443,10,0,10,2,3857,6,3857,0,0,0,1,1,1.45E+12,1.45E+12,1281.107,134.792,258.624,1153.816,1280.126,127.796,258.624,1,0,1,0,8192,0,0,134.796304,123.832,163.772,16.621426,5,60,60,9.284814,0.994,40.445,17.429716,5,55,55,0,0,0,0,0,0,1,1,7,1,0,1240,729,31,33408,24800,0,729,31,517,0,0,0,0,0,0,0,0,0,1,1,9,1,0,1460,1228,31,31744,28960,0,3033,31,3033,0,0,0,0,0,0,0,0,0,0,0,---,4,4,api.copy.com,*.copy.com,0,0,0,261.123,394.907,397.4,870.205,644,3085,-,-,0,0,0.035610483,0.008761173
67.32.121.93,39735,5,0,4,2,750,1,750,0,0,0,1,1,83.145.197.2,80,5,0,5,2,964,1,964,0,0,0,1,1,1.45E+12,1.45E+12,223.688,70.925,148.295,70.925,148.295,70.925,147.294,1,0,1,0,1,0,1,74.059865,70.924,76.369,2.81616,3,62,62,0.332989,0.001,0.499,0.28752,3,46,46,0,0,0,0,0,0,1,1,7,1,0,1460,750,750,31232,29200,0,750,750,750,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,964,964,7296,5792,0,964,964,964,0,0,0,0,0,0,0,0,0,1,1,200,1,1,-,-,0,0,0,0,0,0,0,0,0,api.mywot.com,234.122.1.24,1.45E+12,1.45E+12,0.07856591,0.026823075
