#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.170.227.197,52596,3894,0,3893,3,200832656,3889,200832656,0,0,0,1,1,128.55.205.36,50484,11544,0,11544,11540,1357,2,1357,0,0,0,1,1,1.51988E+12,1.51988E+12,4110.733,48.695,259.373,3993.635,312.122,47.695,96.542,1,0,0,0,8192,0,0,48.335824,47.675,87.252,1.510746,731,64,64,0.088248,0.006,0.331,0.161836,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2984868,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,12025856,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,734,2,-,-,0,0,0,262.689,312.122,312.453,0,1116,0,-,-,0,0,273.6778985,390.84544
192.170.227.197,55092,3467,0,3466,3,183776031,3462,183776031,0,0,0,1,1,128.55.205.37,50621,10605,0,10605,10601,1357,2,1357,0,0,0,1,1,1.51988E+12,1.51988E+12,7855.755,48.578,115.263,7697.262,167.025,47.912,96.251,1,0,0,0,8192,0,0,50.809835,47.673,86.676,5.297917,377,64,64,0.155996,0.005,0.6,0.296015,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2999906,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,11427840,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,258,2,-,-,0,0,0,118.106,167.025,167.625,0,1116,0,-,-,0,0,276.8845817,187.150471
192.170.227.197,55090,3779,0,3778,3,200009703,3774,200009703,0,0,0,1,1,128.55.205.37,50621,11471,0,11471,11467,1357,2,1357,0,0,0,1,1,1.51988E+12,1.51988E+12,7855.974,48.595,115.529,7688.075,167.061,47.948,96.36,1,0,0,0,8192,0,0,50.601245,47.76,87.019,5.165695,433,64,64,0.149996,0.005,0.584,0.289334,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2997152,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,11608064,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,323,2,-,-,0,0,0,118.13,167.061,167.645,0,1116,0,-,-,0,0,275.5400085,203.6765427
192.170.227.197,55088,3914,0,3913,3,209729970,3909,209729970,0,0,0,1,1,128.55.205.37,50621,12015,0,12015,12011,1357,2,1357,0,0,0,1,1,1.51988E+12,1.51988E+12,7856.01,48.146,115.097,7697.358,166.41,47.723,95.819,1,0,0,0,8192,0,0,50.30208,47.66,74.777,4.73856,439,64,64,0.088748,0.007,0.328,0.159506,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2996587,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,11821056,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,330,2,-,-,0,0,0,118.155,166.41,166.738,0,1116,0,-,-,0,0,320.5891651,213.5740357
192.170.227.197,55086,4098,0,4097,3,217594800,4093,217594800,0,0,0,1,1,128.55.205.37,50621,12520,0,12520,12516,1357,2,1357,0,0,0,1,1,1.51988E+12,1.51988E+12,7856.451,48.118,115.146,7738.634,164.766,47.771,95.805,1,0,0,0,8192,0,0,49.932115,47.687,71.956,4.494978,488,64,64,0.113247,0.006,0.423,0.20656,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,38,29696,26880,0,2988649,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,11608064,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,387,2,-,-,0,0,0,116.321,164.766,165.189,0,1116,0,-,-,0,0,332.2751682,221.5705794
192.170.227.197,43058,3810,0,3809,3,201072378,3805,201072378,0,0,0,1,1,128.55.205.29,50283,11723,0,11723,11719,1357,2,1357,0,0,0,1,1,1.51988E+12,1.51988E+12,4147.9,48.875,132.118,4030.084,183.953,47.724,96.671,1,0,0,0,8192,0,0,49.506008,47.678,86.918,2.103207,629,64,64,0.123497,0.005,0.476,0.235001,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2997272,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,11591680,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,628,2,-,-,0,0,0,134.907,183.953,184.429,0,1116,0,-,-,0,0,275.871235,387.8056424
192.170.227.197,43056,3802,0,3801,3,200899697,3797,200899697,0,0,0,1,1,128.55.205.29,50283,11616,0,11616,11612,1357,2,1357,0,0,0,1,1,1.51988E+12,1.51988E+12,4148.006,48.9,131.979,4031.45,183.997,47.714,96.618,1,0,0,0,8192,0,0,49.548,47.677,86.085,2.070053,624,64,64,0.119747,0.007,0.455,0.223504,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2992875,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,8724480,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,631,2,-,-,0,0,0,134.93,183.997,184.452,0,1116,0,-,-,0,0,278.1320788,387.4626932
192.170.227.197,43054,3847,0,3846,3,203848773,3842,203848773,0,0,0,1,1,128.55.205.29,50283,11579,0,11579,11575,1357,2,1357,0,0,0,1,1,1.51988E+12,1.51988E+12,4148.051,48.93,131.75,4031.377,183.106,47.674,96.574,1,0,0,0,8192,0,0,49.534646,47.619,53.486,1.513079,359,64,64,0.065498,0.004,0.24,0.116369,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2997272,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,11444224,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,624,2,-,-,0,0,0,134.959,183.106,183.346,0,1116,0,-,-,0,0,448.3075197,393.1461267
192.170.227.197,43052,3856,0,3855,3,203965352,3851,203965352,0,0,0,1,1,128.55.205.29,50283,11846,0,11846,11842,1357,2,1357,0,0,0,1,1,1.51988E+12,1.51988E+12,4148.416,48.283,131.762,4031.512,181.464,47.732,96.042,1,0,0,0,8192,0,0,49.535655,47.704,53.877,1.523441,638,64,64,0.118497,0.004,0.45,0.221072,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2990206,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,10559488,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,629,2,-,-,0,0,0,132.918,181.464,181.914,0,1116,0,-,-,0,0,444.0048258,393.336352
192.170.227.197,35838,3335,0,3334,3,200292174,3330,200292174,0,0,0,1,1,128.55.205.29,50104,11379,0,11379,11375,1357,2,1357,0,0,0,1,1,1.51989E+12,1.51989E+12,5060.76,48.68,189.164,4941.79,243.053,47.759,96.514,1,0,0,0,8192,0,0,49.410785,47.679,86.33,4.527865,74,64,64,0.098248,0.003,0.38,0.187837,4,54,54,0,0,0,0,0,0,1,1,7,1,0,8960,62636,17,29696,26880,0,2979068,1,263,0,0,0,0,0,0,0,0,0,1,1,13,1,0,8960,730,627,6053888,26844,0,730,627,627,0,0,0,0,0,0,0,0,0,0,0,---,62,2,-,-,0,0,0,193.607,243.053,243.433,0,1116,0,-,-,0,0,276.063292,316.6199132
