Days,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34
31/12/2018 21:00,1532925129,2762182519,20131894.77,15988902.67,5370918846,13988019237,107203608.2,9808419.801,762575068.3,4743066644,17355068056,13191069728,4294200832,1178335295,4379977681,628107342.3,17937209080,11352413806,8295859210,10562510288,13699735603,19157222371,4514.506667,4117.613333,2571413144,10795950302,6978935152,2040256112,12552667564,12999119550,10562437094,27924720658,12237884915,18845097729
31/12/2018 22:00,1550414181,1092177984,20379540.96,11188798.53,8079103398,12995621035,79356305.99,9789703.879,800789340.8,3768044237,14856266187,15785450601,3544538862,1292891455,4553282872,717708452.1,13664641768,14162855488,8097435453,11304029131,12604857522,16054229718,4497.484444,4124,2785355888,10546946313,5496874995,2118649549,10253864428,14291726508,11089184349,24870141645,12134641625,22713692448
31/12/2018 23:00,1640815449,1175531282,29737226.54,69891074.07,7943062823,12451791379,166847781.4,113133742.2,900602011.2,4234892895,14110397722,15621499245,3996651663,1214581242,863075578.5,4352895483,12328211486,7364514734,6552174372,9049842496,11350637504,15402863537,4526.488889,4130.737778,2769220811,6347778097,1647130200,5887198188,9041813375,10387273029,6201947913,21759540194,11458024329,17905967173
01/01/2019 00:00,1479351566,1335242349,20548520.22,10273791.45,6160240791,11087190394,166861861.7,128276163.1,751207864.4,4315978337,13888031872,13930807864,4248513404,1217059517,957635361.7,548601379.3,12805104950,11027362884,6988010791,7593604201,9166354089,15448531471,4503.466667,4120.519774,2851612908,8767860968,2355694931,2197460478,9147164179,10960365062,8852054688,21613334730,8303267395,20967403794
01/01/2019 01:00,1818282218,2201910265,7271613.671,11587081.59,5417538029,14891200336,121846438.7,49360836.11,1249795554,4652189436,14826308364,13502678022,4495715320,1607631309,1136269343,761802382.2,14282914862,13677601495,6422060587,7178414600,8405357961,20312724113,4513.76,4118.533333,3094762824,8716472797,2327408221,2318674910,8340784518,12303435119,10745136519,20656854240,7611721204,28723298743
01/01/2019 02:00,3172593694,1846645922,47515761.79,112320899.8,4388760824,15755024529,110921113.2,4457482.623,1168480624,4441613236,14130125445,14349450029,4289119894,1509682766,736388255.4,1282236447,17476829606,13677065161,7393037054,7952439430,9728805504,18498975594,4498.524444,4120.653333,3318947789,12325381905,2927455827,2395796569,9419182022,13824869411,10951546445,21627462637,9299715636,20557096903
01/01/2019 03:00,2402729921,1309966476,11633975.46,8581575.911,4038911357,10025706793,69936498.11,5018028.838,2995564337,4495412251,12616361552,13211219241,4150741190,3378471742,506995002.5,910031401.1,14608997386,10831009007,7622798091,10420095269,11995918591,17704577347,4518.924444,4123.644444,5371282587,8002203183,1678710183,1779877669,8216592067,12054334801,9477343575,21147377690,12870021392,29057277654
01/01/2019 04:00,2009585801,1117920634,9186894.13,11157866.49,7387571377,13292631416,67102426.44,26813008.61,2946366798,4855979913,11647683553,14068781352,4778422137,3402621478,587745693.8,1881804835,21792709257,5847628573,7200718507,13537334794,15365026943,12037587452,4508.48,4123.653333,4954146168,10790771150,1510587511,3190886712,8529912871,9295885792,7918934049,32875422707,13010306431,16540980355
01/01/2019 05:00,1832082332,1298530750,55891811.65,12532246.51,7033059521,18711150764,116613309.5,3665523.988,2616579239,4906313226,16456205550,15428954303,4750568612,2891018319,896419797,866486078.1,18579887468,11611564007,6379131123,13190144431,16011830160,13393920097,4518.844444,4124.737778,4793231593,13563157160,1635086923,2067931990,8250299318,10864236181,10562890422,29075104551,13483241568,22055456426
01/01/2019 06:00,1708587695,1271127054,61523060.49,19507932.43,6566493467,17691991092,63968480,73733585.54,3523828467,4302438692,15560229503,14828196190,4111790313,3952890551,2136289659,737953631.8,20032982147,8828310527,5496029819,14855429097,16821103952,12835927546,4497.92,4131.008889,6408461082,8298904830,3304997733,2178366165,9627317189,10066492201,8537870986,35074429908,10678900784,16305231588
01/01/2019 07:00,2213859536,1297481947,10973382.24,16044926,8459405109,18315481880,65468133.14,3907766.384,2872309883,4256653230,16790936933,17028006044,4176656330,3289830127,434507445.3,372068704.4,19699804918,8010519509,6631047431,11692512885,13894241061,12112098888,4528.808889,4129.88,4870591083,8462883881,4151780574,3431256404,12280118989,9908178214,8537895080,28794022741,9330385333,18141175320
