Date,bost_amst_in,bost_amst_out,lond_newy_in,lond_newy_out,cern-513_wash_in,cern-513_wash_out
2018-01-03 23:00:00,2738069813,7943277402,6697924305,2251277430,1357623637,3543525676
2018-01-04 0:00:00,3334506725,7726371565,3862292366,15518104315,1167571465,3695619940
2018-01-04 1:00:00,2073966001,4640252540,759798173.8,421930873.4,1448159938,14775915533
2018-01-04 2:00:00,2201758270,3443330981,1375923597,1605955508,2564591267,5853210656
2018-01-04 3:00:00,2378877094,1527952558,918347041.9,236373789.5,1103501146,2068074028
2018-01-04 4:00:00,2110346524,1988836455,1216710938,2782002890,825369062.9,2369612700
2018-01-04 5:00:00,2180083531,2611039205,1034058821,2240430177,1064100977,5858376978
2018-01-04 6:00:00,2480529960,5112804743,447885198.4,2918153979,2981175233,1307208007
2018-01-04 7:00:00,2197022285,2038426401,575655304.2,358419829.7,1967131001,4036132055
2018-01-04 8:00:00,3063700962,3545924092,1266338350,6264382468,2063331830,5151174537
2018-01-04 9:00:00,1887198756,6725232658,1827207402,559710424.8,1001106153,12590228820
2018-01-04 10:00:00,4012149918,4630664139,4903294697,7788038759,3993174533,3225698150
2018-01-04 11:00:00,6370433223,6203189967,7503133648,14782123784,3033840779,8508406528
2018-01-04 12:00:00,7860773743,9370922521,6232995333,24449449175,1972020667,6594506088
2018-01-04 13:00:00,5400776706,8776853264,11913737779,11143617549,2519423668,11985332524
2018-01-04 14:00:00,6466770702,9178141839,3193906314,2313897490,1151879188,6813000403
2018-01-04 15:00:00,8741583413,7374307464,11721705070,6530517018,1670254392,7128842064
2018-01-04 16:00:00,6764212808,8450959377,7804973472,11990259151,1672584708,3826365039
2018-01-04 17:00:00,6130861565,5870922625,1554353121,12252165478,2214924575,3899800606
2018-01-04 18:00:00,5958806319,4811468111,1014734333,10674273138,2540998552,7199594041
2018-01-04 19:00:00,7146348102,5977686910,701401736.2,21487573483,3755841142,1311676541
2018-01-04 20:00:00,2427055380,6921328821,5879411342,11084406291,3213186695,4652561874
2018-01-04 21:00:00,5212003967,4510222065,5956009999,7869877253,1254373039,4997890727
2018-01-04 22:00:00,3537897449,5750235449,1588824974,9266663019,1617485022,4212100387
2018-01-04 23:00:00,4842781001,5850719674,2114582492,15795243923,1391431134,1059426385
2018-01-05 0:00:00,3244593185,6164799198,2772624415,7061418504,2278005379,979157232.9
2018-01-05 1:00:00,3434017777,6480528382,3670959039,4249263411,2044544507,3399134736
2018-01-05 2:00:00,6256030960,7253254153,13039059399,6318319906,2263134286,1137516482
2018-01-05 3:00:00,6374632732,7085693569,14881283143,2733429269,3868919362,1628320564
2018-01-05 4:00:00,4972805063,7937949538,15476547546,11701359679,2898066970,1065015755
2018-01-05 5:00:00,9549039053,6503207117,7922312961,8706831716,2766879862,656158949.3
2018-01-05 6:00:00,6783164846,6016524596,7658511834,8843973940,1112694119,1144411238
2018-01-05 7:00:00,5488939263,6561535512,7077084772,5279643149,652150910.1,8377442699
2018-01-05 8:00:00,8023118747,5873342009,9442753264,15857644719,1506774398,4337568662
2018-01-05 9:00:00,4691373197,4248608784,9737951924,28972028657,774292498.3,845379552
2018-01-05 10:00:00,4272517227,5314763729,12199153151,6536725218,824500232.8,2170066925
2018-01-05 11:00:00,3079877100,4799806364,11301184832,6779587469,1246625107,650612490.8
2018-01-05 12:00:00,4068413931,4187549713,11380603131,2137497049,1154008904,997054026.1
2018-01-05 13:00:00,3613467498,2910220625,11902392924,4008137436,2837134607,2223686345
2018-01-05 14:00:00,3879550983,4951956963,11153886715,7670260313,2704008381,2050245160
2018-01-05 15:00:00,4568087248,4491056410,9320047422,12055547014,1153026187,5711937378
2018-01-05 16:00:00,4928040177,3273326772,10270334565,9775023905,1671994463,9696845570
2018-01-05 17:00:00,4253157144,2119193898,11651471159,4910630070,2857575833,7777004405
2018-01-05 18:00:00,5030815703,2766978244,11327939309,12218182779,898103330.9,7030221610
2018-01-05 19:00:00,5850597869,2398937436,10695340227,11851344510,966263419.7,1695098625
2018-01-05 20:00:00,13295206826,3465462111,8581384120,15792042527,875225379.5,1414980276
2018-01-05 21:00:00,10306119697,4082340428,5329708023,9658379196,571002315.2,4333117153
2018-01-05 22:00:00,8101632661,2848287062,5580532040,11748839236,874484073.1,6668320953
2018-01-05 23:00:00,9421854252,1607943708,3035262264,11364241332,1064163815,684100323.9
2018-01-06 0:00:00,4556614497,2529897879,4084780873,7436335349,2349826595,1828066135
2018-01-06 1:00:00,5833213458,3543612760,2382636488,9894531163,2378743429,1078357014
2018-01-06 2:00:00,6538010944,4689886144,2800724422,13588828180,752804396.5,1901562139
2018-01-06 3:00:00,3855153575,3526998014,6494783412,9776952379,463733167.4,2180461224
2018-01-06 4:00:00,3646239413,3690395066,7645531583,6787369977,1871263576,1146479784
2018-01-06 5:00:00,10220627730,4759460158,6238094123,14130266218,1270477035,2947782806
2018-01-06 6:00:00,14614659670,4979128271,5786623683,12697111236,1386962209,4187439392
2018-01-06 7:00:00,6038387621,4770807149,6311032950,10919157211,1551449993,3909884400
2018-01-06 8:00:00,3218622355,7186190616,13118841837,13858375110,1056520247,583992772.8
2018-01-06 9:00:00,5213269574,4206880017,2014751761,16821483317,1587703930,3719300251
2018-01-06 10:00:00,5079112825,2984367127,1798851913,14453689334,1212196399,5869960040
2018-01-06 11:00:00,5452477130,2999529078,1694979643,9295215521,2822255956,23473165838
2018-01-06 12:00:00,8582447951,5617317011,1999459755,12873603766,1892006311,4855063451
2018-01-06 13:00:00,7077813593,3729365480,1635904050,9711139105,303608230.9,653903086.5
2018-01-06 14:00:00,4819566173,4709638543,1898101222,11281798866,315741835.8,762708395.9
2018-01-06 15:00:00,8512327964,3293990545,2611770088,7664255847,1727155231,791921974
2018-01-06 16:00:00,6112688550,2378271386,2171930336,26846479619,1919819622,2208125715
2018-01-06 17:00:00,7308759631,4639173222,2454245995,14727953997,1515016041,1387195365
2018-01-06 18:00:00,6843492466,4800190606,4958115328,6056202958,819895075.8,1812757003
2018-01-06 19:00:00,2725781690,5094488312,1224184691,6820793373,1831305882,6400286027
2018-01-06 20:00:00,3490134941,6784113974,8383164562,16861610193,1248346691,14715943698
2018-01-06 21:00:00,3745707772,4357974260,7253909092,21633568435,1994716510,2760703883
2018-01-06 22:00:00,5376512900,2998690944,6727261729,11598771574,1364772768,704114295.9
2018-01-06 23:00:00,2016925410,3842142408,8117100261,18268327342,1618584160,7419173300
2018-01-07 0:00:00,2268137684,4118205047,7057392005,16102826476,1815047678,4254967920
2018-01-07 1:00:00,2037425885,4269025557,8637488141,14210235598,1326832108,1660090301
2018-01-07 2:00:00,3462885171,2063653686,9162235985,17162567582,1325794685,2611615251
2018-01-07 3:00:00,3967238892,2227706079,5730392408,15743410852,1458255858,2105646271
2018-01-07 4:00:00,2618693576,2789392406,3627502212,23483950950,2073600810,2984553882
2018-01-07 5:00:00,4839298766,3600639247,2069878517,14329683175,3150195712,1774997480
2018-01-07 6:00:00,3997937024,3036626208,2170421551,33686996671,2458705892,5498056974
2018-01-07 7:00:00,2809622070,2755066652,2870193263,20438340329,1147468050,1710150330
2018-01-07 8:00:00,4980105652,2855546195,6667119945,6398601234,1576398967,672847703.2
2018-01-07 9:00:00,1700802387,2889591524,2540266902,31131132731,2361694621,5275229894
2018-01-07 10:00:00,4173855814,4189371334,2276549928,20724629246,2241730199,4767265140
2018-01-07 11:00:00,3817015519,3708450601,3576641279,14633463969,949054243,1025823620
2018-01-07 12:00:00,2327144878,3136455899,6740761531,12097174230,2047041158,5239901530
2018-01-07 13:00:00,4168777106,2792983662,5833479919,13167222278,1074869057,1332155759
2018-01-07 14:00:00,4017924356,3550563677,7056665137,14692064926,1363683561,9801378685
2018-01-07 15:00:00,1929926475,3560763640,8696586209,8345780961,787508161.3,1935252495
